wavelength,species,ep,gf,K11,Sun,HD1178,HD10145,HD16623,HD20329,HD21727,HD21774,HD28474,HD176733,HD191069
5739.464,22,2.249,-0.6,8.3,8.6,12,11.2,4.7,17.7,11.3,13.3,3.2,11,10.2
5866.452,22,1.066,-0.84,49.3,47.9,61.6,57.4,34.6,64.5,59.3,63.6,28.3,57.1,55
6091.174,22,2.2673,-0.423,16.5,15.5,22.1,19.3,10.8,24.2,21,24.3,6.6,19,20.1
6126.217,22,1.066,-1.424,25.1,22.6,32.9,28.7,15.2,36.1,31.4,34.1,10.9,29.5,28.2
6258.104,22,1.443,-0.355,51.7,51.9,62.5,60,38.9,67,61.6,65.4,30.7,58.9,58.3
6261.101,22,1.429,-0.479,49.9,49.5,61,58.2,35.9,64.7,58.9,63.2,27.1,56.1,55.5
4470.857,22.1,1.1649,-2.06,67.2,65.7,70.1,67.8,60.4,69.8,67.7,73.8,52.3,64,72.2
4544.028,22.1,1.2429,-2.53,44.9,41.7,49.5,45.4,38.6,50.1,45.7,52.7,29.5,41.5,50.9
4583.408,22.1,1.165,-2.87,34.5,32.2,37.3,34.4,29.5,38.6,34.4,40.2,21.6,31.4,38.2
4636.33,22.1,1.16,-3.152,21.6,19.4,24,22,16.4,25.1,22,27.9,12.5,19.9,25.8
4657.212,22.1,1.243,-2.47,54.4,51.6,54.8,54.3,48.4,58.4,53.9,60.5,40.9,51.7,60.1
4779.985,22.1,2.0477,-1.26,66.4,63.1,69.9,50.7,64.1,69.4,49.9,74.9,51.6,58.1,74.5
4865.611,22.1,1.116,-2.81,41.1,39.1,46.1,40.9,35.5,45.9,43.5,52.5,26.8,40.2,45.6
4874.014,22.1,3.095,-0.9,38.2,36.1,39.9,37.4,33.1,41.2,36.6,44.4,24.9,34.6,42.6
4911.193,22.1,3.123,-0.537,54.3,51,54.9,48.2,42.6,55.4,50.2,61.5,34.9,49.3,57.9
5211.54,22.1,2.59,-1.49,36.3,36.9,36.2,37.4,31,38.7,34,43.2,24.3,35.6,42.5
5418.767,22.1,1.582,-2.11,52.6,49.3,54.4,50.5,44.9,55.5,50.3,60.4,36.1,48,57.3
4875.462,23,0.04,-2.616,50.8,49.7,64.4,60.7,28.4,66.2,63,68.4,21.3,64.2,56.4
-4875.464,23,0.04,-2.331,0,0,0,0,0,0,0,0,0,0,0
-4875.464,23,0.04,-2.586,0,0,0,0,0,0,0,0,0,0,0
-4875.468,23,0.04,-2.586,0,0,0,0,0,0,0,0,0,0,0
-4875.468,23,0.04,-2.143,0,0,0,0,0,0,0,0,0,0,0
-4875.468,23,0.04,-2.637,0,0,0,0,0,0,0,0,0,0,0
-4875.474,23,0.04,-2.198,0,0,0,0,0,0,0,0,0,0,0
-4875.474,23,0.04,-2.052,0,0,0,0,0,0,0,0,0,0,0
-4875.474,23,0.04,-2.762,0,0,0,0,0,0,0,0,0,0,0
-4875.481,23,0.04,-1.943,0,0,0,0,0,0,0,0,0,0,0
-4875.481,23,0.04,-2.03,0,0,0,0,0,0,0,0,0,0,0
-4875.481,23,0.04,-2.984,0,0,0,0,0,0,0,0,0,0,0
-4875.491,23,0.04,-1.745,0,0,0,0,0,0,0,0,0,0,0
-4875.491,23,0.04,-2.084,0,0,0,0,0,0,0,0,0,0,0
-4875.491,23,0.04,-3.394,0,0,0,0,0,0,0,0,0,0,0
-4875.503,23,0.04,-1.581,0,0,0,0,0,0,0,0,0,0,0
-4875.503,23,0.04,-2.28,0,0,0,0,0,0,0,0,0,0,0
-4875.517,23,0.04,-1.44,0,0,0,0,0,0,0,0,0,0,0
5670.832,23,1.08,-3.402,20.1,19.1,29.2,24.5,10.5,30.9,27.9,34.5,7.8,27.3,23.5
-5670.832,23,1.08,-2.101,0,0,0,0,0,0,0,0,0,0,0
-5670.832,23,1.08,-1.093,0,0,0,0,0,0,0,0,0,0,0
-5670.844,23,1.08,-3.004,0,0,0,0,0,0,0,0,0,0,0
-5670.844,23,1.08,-1.891,0,0,0,0,0,0,0,0,0,0,0
-5670.844,23,1.08,-1.198,0,0,0,0,0,0,0,0,0,0,0
-5670.854,23,1.08,-2.8,0,0,0,0,0,0,0,0,0,0,0
-5670.854,23,1.08,-1.817,0,0,0,0,0,0,0,0,0,0,0
-5670.854,23,1.08,-1.314,0,0,0,0,0,0,0,0,0,0,0
-5670.863,23,1.08,-2.703,0,0,0,0,0,0,0,0,0,0,0
-5670.863,23,1.08,-1.811,0,0,0,0,0,0,0,0,0,0,0
-5670.863,23,1.08,-1.443,0,0,0,0,0,0,0,0,0,0,0
-5670.87,23,1.08,-2.703,0,0,0,0,0,0,0,0,0,0,0
-5670.87,23,1.08,-1.858,0,0,0,0,0,0,0,0,0,0,0
-5670.87,23,1.08,-1.589,0,0,0,0,0,0,0,0,0,0,0
-5670.875,23,1.08,-2.858,0,0,0,0,0,0,0,0,0,0,0
-5670.875,23,1.08,-1.963,0,0,0,0,0,0,0,0,0,0,0
-5670.875,23,1.08,-1.759,0,0,0,0,0,0,0,0,0,0,0
-5670.878,23,1.08,-2.159,0,0,0,0,0,0,0,0,0,0,0
-5670.878,23,1.08,-1.963,0,0,0,0,0,0,0,0,0,0,0
-5670.88,23,1.08,-2.226,0,0,0,0,0,0,0,0,0,0,0
5727.027,23,1.081,-2.993,39.6,39.4,52.5,49.2,23,56.3,55,58.2,18.2,49.9,45.9
-5727.027,23,1.081,-1.692,0,0,0,0,0,0,0,0,0,0,0
-5727.027,23,1.081,-0.684,0,0,0,0,0,0,0,0,0,0,0
-5727.039,23,1.081,-2.595,0,0,0,0,0,0,0,0,0,0,0
-5727.039,23,1.081,-1.481,0,0,0,0,0,0,0,0,0,0,0
-5727.039,23,1.081,-0.789,0,0,0,0,0,0,0,0,0,0,0
-5727.049,23,1.081,-2.391,0,0,0,0,0,0,0,0,0,0,0
-5727.049,23,1.081,-1.408,0,0,0,0,0,0,0,0,0,0,0
-5727.049,23,1.081,-0.905,0,0,0,0,0,0,0,0,0,0,0
-5727.058,23,1.081,-2.294,0,0,0,0,0,0,0,0,0,0,0
-5727.058,23,1.081,-1.402,0,0,0,0,0,0,0,0,0,0,0
